iter,loss,lr,val_psnr,sec_per_100it,val_l1_spec,val_sam,val_sam_valid_frac,val_sharpness,val_hf_energy,val_ssim,val_lpips,val_sam_hr,val_ergas
100,0.079274,4.000e-05,,41.6,,,,,,,,,
200,0.020241,8.000e-05,,29.3,,,,,,,,,
300,0.015444,1.200e-04,,25.4,,,,,,,,,
400,0.013630,1.600e-04,,25.4,,,,,,,,,
500,0.012940,2.000e-04,,25.4,,,,,,,,,
500,,,33.4191,,0.00825103,0.04763488,0.999850,0.03148472,0.04364170,0.795189,0.518160,4.455766,5.365666
600,0.012007,2.000e-04,,38.6,,,,,,,,,
700,0.011800,1.999e-04,,25.4,,,,,,,,,
800,0.011371,1.997e-04,,24.9,,,,,,,,,
900,0.011035,1.994e-04,,25.0,,,,,,,,,
1000,0.010774,1.991e-04,,25.8,,,,,,,,,
1000,,,34.6664,,0.00474817,0.02586484,0.999850,0.03247663,0.01703462,0.819686,0.440019,3.339272,4.390856
1100,0.010734,1.987e-04,,36.0,,,,,,,,,
1200,0.010672,1.982e-04,,25.8,,,,,,,,,
1300,0.010619,1.976e-04,,25.1,,,,,,,,,
1400,0.010361,1.970e-04,,25.4,,,,,,,,,
1500,0.010453,1.963e-04,,25.7,,,,,,,,,
1500,,,34.9505,,0.00378687,0.01799352,0.999850,0.03386898,0.01282099,0.826431,0.420467,3.169743,4.285036
1600,0.010297,1.955e-04,,37.0,,,,,,,,,
1700,0.010008,1.947e-04,,26.3,,,,,,,,,
1800,0.010292,1.938e-04,,25.4,,,,,,,,,
1900,0.010182,1.928e-04,,25.7,,,,,,,,,
2000,0.010075,1.918e-04,,25.6,,,,,,,,,
2000,,,35.1028,,0.00318463,0.01674653,0.999850,0.03452701,0.01260780,0.829667,0.409908,3.081857,4.207969
2100,0.010075,1.907e-04,,35.5,,,,,,,,,
2200,0.010202,1.895e-04,,25.1,,,,,,,,,
2300,0.009945,1.882e-04,,24.9,,,,,,,,,
2400,0.010098,1.869e-04,,25.5,,,,,,,,,
2500,0.009891,1.855e-04,,25.2,,,,,,,,,
2500,,,35.1311,,0.00324322,0.01426479,0.999850,0.03499796,0.01297995,0.830725,0.405031,3.027098,4.182279
2600,0.010020,1.841e-04,,35.9,,,,,,,,,
2700,0.009919,1.826e-04,,25.6,,,,,,,,,
2800,0.009956,1.810e-04,,24.9,,,,,,,,,
2900,0.010001,1.794e-04,,25.0,,,,,,,,,
3000,0.009876,1.777e-04,,25.0,,,,,,,,,
3000,,,35.1376,,0.00347381,0.01590218,0.999850,0.03412118,0.01464860,0.830985,0.404738,2.988827,4.166396
3100,0.009763,1.760e-04,,35.7,,,,,,,,,
3200,0.009998,1.742e-04,,25.4,,,,,,,,,
3300,0.010012,1.723e-04,,24.9,,,,,,,,,
