iter,loss,lr,val_psnr,sec_per_100it,val_l1_spec,val_sam,val_sam_valid_frac,val_sharpness,val_hf_energy,val_ssim,val_lpips,val_sam_hr,val_ergas
100,0.097601,4.000e-05,,34.3,,,,,,,,,
200,0.023796,8.000e-05,,25.1,,,,,,,,,
300,0.017631,1.200e-04,,24.4,,,,,,,,,
400,0.015627,1.600e-04,,24.8,,,,,,,,,
500,0.014530,2.000e-04,,24.8,,,,,,,,,
500,,,33.2508,,0.00841500,0.04475790,0.999850,0.03239777,0.05632649,0.795868,0.511254,4.369208,5.061452
600,0.013364,2.000e-04,,35.8,,,,,,,,,
700,0.012501,1.999e-04,,24.9,,,,,,,,,
800,0.012656,1.997e-04,,24.5,,,,,,,,,
900,0.012129,1.994e-04,,25.0,,,,,,,,,
1000,0.011904,1.991e-04,,25.1,,,,,,,,,
1000,,,34.5738,,0.00475134,0.02827005,0.999850,0.03355213,0.01774685,0.819117,0.439306,3.412464,4.420826
1100,0.011546,1.987e-04,,35.2,,,,,,,,,
1200,0.011280,1.982e-04,,25.1,,,,,,,,,
1300,0.011154,1.976e-04,,24.4,,,,,,,,,
1400,0.011081,1.970e-04,,25.0,,,,,,,,,
1500,0.011152,1.963e-04,,24.9,,,,,,,,,
1500,,,34.6088,,0.00529610,0.02109656,0.999850,0.03551787,0.01398014,0.825543,0.429163,3.275896,4.540482
1600,0.011029,1.955e-04,,35.5,,,,,,,,,
1700,0.010735,1.947e-04,,25.0,,,,,,,,,
1800,0.010941,1.938e-04,,24.4,,,,,,,,,
1900,0.010701,1.928e-04,,25.1,,,,,,,,,
2000,0.010757,1.918e-04,,25.2,,,,,,,,,
2000,,,35.0318,,0.00295736,0.01690437,0.999850,0.03561377,0.01302532,0.829142,0.416434,3.099986,4.229451
2100,0.010589,1.907e-04,,36.0,,,,,,,,,
2200,0.010776,1.895e-04,,24.6,,,,,,,,,
2300,0.010395,1.882e-04,,24.7,,,,,,,,,
2400,0.010570,1.869e-04,,24.6,,,,,,,,,
