iter,loss,lr,val_psnr,sec_per_100it
100,0.068098,4.000e-05,,40.9
200,0.017598,8.000e-05,,29.4
300,0.013816,1.200e-04,,28.7
400,0.012641,1.600e-04,,27.9
500,0.012234,2.000e-04,,28.3
600,0.011261,2.000e-04,,27.8
700,0.010898,2.000e-04,,27.7
800,0.010761,2.000e-04,,27.6
900,0.010952,1.999e-04,,27.3
1000,0.010402,1.999e-04,,27.8
1100,0.010244,1.999e-04,,26.5
1200,0.010319,1.998e-04,,27.0
1300,0.010172,1.998e-04,,26.4
1400,0.010055,1.997e-04,,28.2
1500,0.009969,1.997e-04,,28.0
1600,0.010107,1.996e-04,,27.7
1700,0.009691,1.995e-04,,27.9
1800,0.010056,1.995e-04,,28.0
1900,0.009899,1.994e-04,,28.4
2000,0.009786,1.993e-04,,28.6
2000,,,34.9790,
2100,0.009831,1.992e-04,,35.5
2200,0.009824,1.991e-04,,28.1
2300,0.009712,1.990e-04,,28.0
2400,0.009735,1.989e-04,,28.1
2500,0.009807,1.987e-04,,27.8
2600,0.009620,1.986e-04,,27.3
2700,0.009777,1.985e-04,,28.1
2800,0.009685,1.983e-04,,27.9
2900,0.009717,1.982e-04,,27.6
3000,0.009682,1.980e-04,,28.1
3100,0.009661,1.979e-04,,27.9
3200,0.009532,1.977e-04,,28.2
3300,0.009725,1.975e-04,,28.5
3400,0.009551,1.974e-04,,28.3
3500,0.009689,1.972e-04,,27.9
3600,0.009565,1.970e-04,,26.7
3700,0.009582,1.968e-04,,26.6
3800,0.009571,1.966e-04,,27.7
3900,0.009683,1.964e-04,,27.9
4000,0.009505,1.962e-04,,27.5
4000,,,35.2243,
4100,0.009520,1.960e-04,,35.3
4200,0.009680,1.957e-04,,27.9
4300,0.009512,1.955e-04,,27.4
4400,0.009621,1.953e-04,,27.7
4500,0.009442,1.950e-04,,27.8
4600,0.009544,1.948e-04,,27.1
4700,0.009504,1.945e-04,,27.7
4800,0.009566,1.942e-04,,27.7
4900,0.009518,1.940e-04,,27.8
5000,0.009481,1.937e-04,,27.8
5100,0.009520,1.934e-04,,28.1
5200,0.009538,1.931e-04,,28.1
5300,0.009356,1.928e-04,,27.7
5400,0.009581,1.925e-04,,28.0
5500,0.009418,1.922e-04,,27.1
5600,0.009696,1.919e-04,,28.2
5700,0.009310,1.916e-04,,28.4
5800,0.009513,1.913e-04,,28.1
5900,0.009528,1.910e-04,,27.8
6000,0.009345,1.906e-04,,27.3
6000,,,35.2636,
6100,0.009438,1.903e-04,,34.5
6200,0.009460,1.900e-04,,28.2
6300,0.009422,1.896e-04,,28.2
6400,0.009478,1.892e-04,,27.6
6500,0.009413,1.889e-04,,27.8
6600,0.009427,1.885e-04,,27.3
6700,0.009321,1.881e-04,,27.9
6800,0.009395,1.878e-04,,28.0
6900,0.009531,1.874e-04,,28.0
7000,0.009484,1.870e-04,,28.0
7100,0.009335,1.866e-04,,28.0
7200,0.009372,1.862e-04,,28.1
7300,0.009339,1.858e-04,,28.1
7400,0.009320,1.854e-04,,27.8
7500,0.009520,1.850e-04,,28.1
7600,0.009291,1.846e-04,,28.1
7700,0.009510,1.841e-04,,28.3
7800,0.009335,1.837e-04,,27.8
7900,0.009452,1.833e-04,,27.6
8000,0.009315,1.828e-04,,27.6
8000,,,35.2842,
8100,0.009352,1.824e-04,,34.7
8200,0.009513,1.819e-04,,26.9
8300,0.009167,1.815e-04,,28.0
8400,0.009411,1.810e-04,,26.4
8500,0.009309,1.805e-04,,26.1
8600,0.009399,1.801e-04,,26.5
8700,0.009333,1.796e-04,,27.7
8800,0.009422,1.791e-04,,27.8
8900,0.009221,1.786e-04,,27.8
9000,0.009368,1.781e-04,,27.6
9100,0.009398,1.776e-04,,27.7
9200,0.009218,1.771e-04,,27.1
9300,0.009363,1.766e-04,,27.4
9400,0.009254,1.761e-04,,27.6
9500,0.009396,1.756e-04,,27.1
9600,0.009283,1.751e-04,,27.9
9700,0.009302,1.745e-04,,27.5
9800,0.009304,1.740e-04,,27.7
9900,0.009313,1.735e-04,,27.7
10000,0.009288,1.729e-04,,27.7
10000,,,35.2585,
10100,0.009305,1.724e-04,,34.3
10200,0.009296,1.718e-04,,31.1
10300,0.009299,1.713e-04,,27.3
10400,0.009178,1.707e-04,,26.9
10500,0.009406,1.702e-04,,27.5
10600,0.009361,1.696e-04,,27.5
